company_id,year,cfo_sign,cfi_sign,cff_sign,pattern_label
COMP_001,2019,-,-,+,Growth Funded by Debt
COMP_001,2020,-,-,-,Pre-Revenue
COMP_001,2021,-,+,-,Unknown
COMP_001,2022,+,+,-,Liquidating Assets
COMP_001,2023,-,+,+,Distress Signal
COMP_002,2019,+,+,+,Cash Accumulator
COMP_002,2020,+,-,+,Mixed
COMP_002,2021,-,+,-,Unknown
COMP_002,2022,+,+,+,Cash Accumulator
COMP_002,2023,+,-,+,Mixed
COMP_003,2019,+,-,+,Mixed
COMP_003,2020,-,+,+,Distress Signal
COMP_003,2021,-,-,+,Growth Funded by Debt
COMP_003,2022,-,-,-,Pre-Revenue
COMP_003,2023,+,-,-,Shareholder Returns
COMP_004,2019,+,-,-,Shareholder Returns
COMP_004,2020,-,-,-,Pre-Revenue
COMP_004,2021,+,-,-,Shareholder Returns
COMP_004,2022,-,+,+,Distress Signal
COMP_004,2023,+,-,+,Mixed
COMP_005,2019,-,-,+,Growth Funded by Debt
COMP_005,2020,+,-,-,Reinvestor
COMP_005,2021,+,-,-,Shareholder Returns
COMP_005,2022,+,-,+,Mixed
COMP_005,2023,-,+,+,Distress Signal
COMP_006,2019,-,-,-,Pre-Revenue
COMP_006,2020,+,-,+,Mixed
COMP_006,2021,+,-,+,Mixed
COMP_006,2022,+,-,+,Mixed
COMP_006,2023,-,+,+,Distress Signal
COMP_007,2019,+,-,-,Reinvestor
COMP_007,2020,+,-,-,Shareholder Returns
COMP_007,2021,+,-,-,Shareholder Returns
COMP_007,2022,+,+,+,Cash Accumulator
COMP_007,2023,-,-,-,Pre-Revenue
COMP_008,2019,+,-,-,Shareholder Returns
COMP_008,2020,-,-,-,Pre-Revenue
COMP_008,2021,-,+,-,Unknown
COMP_008,2022,-,+,+,Distress Signal
COMP_008,2023,+,+,-,Liquidating Assets
COMP_009,2019,-,-,+,Growth Funded by Debt
COMP_009,2020,-,+,-,Unknown
COMP_009,2021,-,+,+,Distress Signal
COMP_009,2022,+,-,+,Mixed
COMP_009,2023,-,-,+,Growth Funded by Debt
COMP_010,2019,-,-,+,Growth Funded by Debt
COMP_010,2020,-,+,+,Distress Signal
COMP_010,2021,-,+,+,Distress Signal
COMP_010,2022,-,-,-,Pre-Revenue
COMP_010,2023,-,+,+,Distress Signal
COMP_011,2019,+,+,-,Liquidating Assets
COMP_011,2020,-,+,+,Distress Signal
COMP_011,2021,-,+,+,Distress Signal
COMP_011,2022,-,+,+,Distress Signal
COMP_011,2023,-,-,+,Growth Funded by Debt
COMP_012,2019,-,-,+,Growth Funded by Debt
COMP_012,2020,-,-,+,Growth Funded by Debt
COMP_012,2021,-,+,-,Unknown
COMP_012,2022,+,+,+,Cash Accumulator
COMP_012,2023,+,+,-,Liquidating Assets
COMP_013,2019,-,-,-,Pre-Revenue
COMP_013,2020,+,+,-,Liquidating Assets
COMP_013,2021,+,-,+,Mixed
COMP_013,2022,+,-,+,Mixed
COMP_013,2023,+,+,-,Liquidating Assets
COMP_014,2019,-,+,-,Unknown
COMP_014,2020,-,-,-,Pre-Revenue
COMP_014,2021,+,-,-,Shareholder Returns
COMP_014,2022,+,+,+,Cash Accumulator
COMP_014,2023,-,+,+,Distress Signal
COMP_015,2019,+,-,+,Mixed
COMP_015,2020,-,-,+,Growth Funded by Debt
COMP_015,2021,+,+,-,Liquidating Assets
COMP_015,2022,+,-,+,Mixed
COMP_015,2023,-,+,-,Unknown
COMP_016,2019,+,-,+,Mixed
COMP_016,2020,-,-,+,Growth Funded by Debt
COMP_016,2021,+,-,-,Reinvestor
COMP_016,2022,+,-,-,Reinvestor
COMP_016,2023,-,-,-,Pre-Revenue
COMP_017,2019,-,+,+,Distress Signal
COMP_017,2020,-,+,-,Unknown
COMP_017,2021,-,-,-,Pre-Revenue
COMP_017,2022,-,-,+,Growth Funded by Debt
COMP_017,2023,-,-,+,Growth Funded by Debt
COMP_018,2019,-,-,-,Pre-Revenue
COMP_018,2020,-,-,+,Growth Funded by Debt
COMP_018,2021,+,+,-,Liquidating Assets
COMP_018,2022,+,-,-,Reinvestor
COMP_018,2023,-,+,-,Unknown
COMP_019,2019,-,-,-,Pre-Revenue
COMP_019,2020,-,-,+,Growth Funded by Debt
COMP_019,2021,-,-,-,Pre-Revenue
COMP_019,2022,+,+,+,Cash Accumulator
COMP_019,2023,+,+,+,Cash Accumulator
COMP_020,2019,+,+,+,Cash Accumulator
COMP_020,2020,+,-,+,Mixed
COMP_020,2021,+,-,-,Reinvestor
COMP_020,2022,-,-,-,Pre-Revenue
COMP_020,2023,+,+,-,Liquidating Assets
COMP_021,2019,+,-,-,Shareholder Returns
COMP_021,2020,-,+,+,Distress Signal
COMP_021,2021,+,+,+,Cash Accumulator
COMP_021,2022,-,-,+,Growth Funded by Debt
COMP_021,2023,+,+,-,Liquidating Assets
COMP_022,2019,+,+,-,Liquidating Assets
COMP_022,2020,+,-,-,Reinvestor
COMP_022,2021,-,-,+,Growth Funded by Debt
COMP_022,2022,-,+,+,Distress Signal
COMP_022,2023,-,+,-,Unknown
COMP_023,2019,+,+,+,Cash Accumulator
COMP_023,2020,-,+,-,Unknown
COMP_023,2021,-,+,-,Unknown
COMP_023,2022,-,+,-,Unknown
COMP_023,2023,+,+,-,Liquidating Assets
COMP_024,2019,+,+,-,Liquidating Assets
COMP_024,2020,+,+,+,Cash Accumulator
COMP_024,2021,+,-,+,Mixed
COMP_024,2022,-,-,-,Pre-Revenue
COMP_024,2023,-,-,-,Pre-Revenue
COMP_025,2019,+,-,-,Reinvestor
COMP_025,2020,-,-,+,Growth Funded by Debt
COMP_025,2021,+,+,-,Liquidating Assets
COMP_025,2022,-,+,-,Unknown
COMP_025,2023,-,+,+,Distress Signal
COMP_026,2019,-,+,+,Distress Signal
COMP_026,2020,-,+,-,Unknown
COMP_026,2021,-,-,-,Pre-Revenue
COMP_026,2022,-,-,+,Growth Funded by Debt
COMP_026,2023,+,-,+,Mixed
COMP_027,2019,+,-,-,Reinvestor
COMP_027,2020,-,-,+,Growth Funded by Debt
COMP_027,2021,+,-,-,Reinvestor
COMP_027,2022,+,-,+,Mixed
COMP_027,2023,-,+,-,Unknown
COMP_028,2019,-,+,-,Unknown
COMP_028,2020,-,+,-,Unknown
COMP_028,2021,-,+,-,Unknown
COMP_028,2022,-,+,-,Unknown
COMP_028,2023,-,-,-,Pre-Revenue
COMP_029,2019,-,+,+,Distress Signal
COMP_029,2020,+,-,+,Mixed
COMP_029,2021,+,+,+,Cash Accumulator
COMP_029,2022,-,-,-,Pre-Revenue
COMP_029,2023,-,+,+,Distress Signal
COMP_030,2019,-,-,+,Growth Funded by Debt
COMP_030,2020,+,+,+,Cash Accumulator
COMP_030,2021,-,+,+,Distress Signal
COMP_030,2022,+,-,+,Mixed
COMP_030,2023,+,-,-,Shareholder Returns
COMP_031,2019,-,+,-,Unknown
COMP_031,2020,+,-,-,Reinvestor
COMP_031,2021,-,-,-,Pre-Revenue
COMP_031,2022,+,+,-,Liquidating Assets
COMP_031,2023,+,-,-,Reinvestor
COMP_032,2019,-,-,-,Pre-Revenue
COMP_032,2020,+,+,-,Liquidating Assets
COMP_032,2021,+,+,-,Liquidating Assets
COMP_032,2022,-,-,-,Pre-Revenue
COMP_032,2023,+,+,-,Liquidating Assets
COMP_033,2019,+,+,-,Liquidating Assets
COMP_033,2020,-,-,-,Pre-Revenue
COMP_033,2021,+,+,+,Cash Accumulator
COMP_033,2022,+,-,+,Mixed
COMP_033,2023,+,-,+,Mixed
COMP_034,2019,-,-,+,Growth Funded by Debt
COMP_034,2020,-,-,+,Growth Funded by Debt
COMP_034,2021,+,-,+,Mixed
COMP_034,2022,+,+,+,Cash Accumulator
COMP_034,2023,+,-,+,Mixed
COMP_035,2019,+,-,-,Shareholder Returns
COMP_035,2020,-,+,-,Unknown
COMP_035,2021,+,-,-,Shareholder Returns
COMP_035,2022,+,+,-,Liquidating Assets
COMP_035,2023,+,+,+,Cash Accumulator
COMP_036,2019,-,-,-,Pre-Revenue
COMP_036,2020,-,-,+,Growth Funded by Debt
COMP_036,2021,+,+,+,Cash Accumulator
COMP_036,2022,+,+,-,Liquidating Assets
COMP_036,2023,-,+,+,Distress Signal
COMP_037,2019,-,+,+,Distress Signal
COMP_037,2020,+,-,+,Mixed
COMP_037,2021,+,-,-,Shareholder Returns
COMP_037,2022,+,-,+,Mixed
COMP_037,2023,-,+,-,Unknown
COMP_038,2019,-,+,-,Unknown
COMP_038,2020,+,+,-,Liquidating Assets
COMP_038,2021,-,-,-,Pre-Revenue
COMP_038,2022,+,-,+,Mixed
COMP_038,2023,+,+,+,Cash Accumulator
COMP_039,2019,-,+,+,Distress Signal
COMP_039,2020,+,+,+,Cash Accumulator
COMP_039,2021,+,-,+,Mixed
COMP_039,2022,+,-,-,Reinvestor
COMP_039,2023,-,+,+,Distress Signal
COMP_040,2019,+,+,-,Liquidating Assets
COMP_040,2020,+,-,-,Reinvestor
COMP_040,2021,-,-,-,Pre-Revenue
COMP_040,2022,-,-,+,Growth Funded by Debt
COMP_040,2023,+,-,+,Mixed
COMP_041,2019,+,-,+,Mixed
COMP_041,2020,+,-,-,Shareholder Returns
COMP_041,2021,-,+,+,Distress Signal
COMP_041,2022,+,+,+,Cash Accumulator
COMP_041,2023,+,-,-,Reinvestor
COMP_042,2019,+,+,+,Cash Accumulator
COMP_042,2020,-,+,-,Unknown
COMP_042,2021,+,+,-,Liquidating Assets
COMP_042,2022,-,+,+,Distress Signal
COMP_042,2023,-,-,-,Pre-Revenue
COMP_043,2019,-,+,+,Distress Signal
COMP_043,2020,-,+,-,Unknown
COMP_043,2021,+,-,+,Mixed
COMP_043,2022,-,-,-,Pre-Revenue
COMP_043,2023,-,+,+,Distress Signal
COMP_044,2019,-,+,-,Unknown
COMP_044,2020,-,-,+,Growth Funded by Debt
COMP_044,2021,+,+,-,Liquidating Assets
COMP_044,2022,+,+,-,Liquidating Assets
COMP_044,2023,-,-,+,Growth Funded by Debt
COMP_045,2019,-,-,-,Pre-Revenue
COMP_045,2020,-,+,+,Distress Signal
COMP_045,2021,+,+,-,Liquidating Assets
COMP_045,2022,+,+,+,Cash Accumulator
COMP_045,2023,+,-,-,Reinvestor
COMP_046,2019,+,-,-,Reinvestor
COMP_046,2020,+,-,-,Shareholder Returns
COMP_046,2021,-,-,-,Pre-Revenue
COMP_046,2022,+,-,+,Mixed
COMP_046,2023,-,-,-,Pre-Revenue
COMP_047,2019,+,-,-,Shareholder Returns
COMP_047,2020,+,-,+,Mixed
COMP_047,2021,-,+,-,Unknown
COMP_047,2022,+,-,+,Mixed
COMP_047,2023,+,+,-,Liquidating Assets
COMP_048,2019,+,-,+,Mixed
COMP_048,2020,+,+,+,Cash Accumulator
COMP_048,2021,-,+,+,Distress Signal
COMP_048,2022,-,+,-,Unknown
COMP_048,2023,-,-,+,Growth Funded by Debt
COMP_049,2019,+,+,-,Liquidating Assets
COMP_049,2020,+,-,+,Mixed
COMP_049,2021,+,+,-,Liquidating Assets
COMP_049,2022,-,-,-,Pre-Revenue
COMP_049,2023,+,+,+,Cash Accumulator
COMP_050,2019,+,+,-,Liquidating Assets
COMP_050,2020,+,-,-,Shareholder Returns
COMP_050,2021,-,+,-,Unknown
COMP_050,2022,+,-,+,Mixed
COMP_050,2023,+,-,-,Reinvestor
COMP_051,2019,-,+,-,Unknown
COMP_051,2020,+,+,-,Liquidating Assets
COMP_051,2021,+,-,-,Shareholder Returns
COMP_051,2022,-,+,-,Unknown
COMP_051,2023,+,-,+,Mixed
COMP_052,2019,+,-,+,Mixed
COMP_052,2020,+,+,+,Cash Accumulator
COMP_052,2021,-,+,-,Unknown
COMP_052,2022,+,-,+,Mixed
COMP_052,2023,+,+,+,Cash Accumulator
COMP_053,2019,-,-,-,Pre-Revenue
COMP_053,2020,+,+,-,Liquidating Assets
COMP_053,2021,+,-,-,Reinvestor
COMP_053,2022,+,+,-,Liquidating Assets
COMP_053,2023,-,+,-,Unknown
COMP_054,2019,+,-,+,Mixed
COMP_054,2020,+,-,-,Reinvestor
COMP_054,2021,+,+,-,Liquidating Assets
COMP_054,2022,+,-,-,Reinvestor
COMP_054,2023,-,-,-,Pre-Revenue
COMP_055,2019,-,-,+,Growth Funded by Debt
COMP_055,2020,+,-,+,Mixed
COMP_055,2021,+,+,+,Cash Accumulator
COMP_055,2022,-,-,+,Growth Funded by Debt
COMP_055,2023,+,+,+,Cash Accumulator
COMP_056,2019,-,+,-,Unknown
COMP_056,2020,+,+,-,Liquidating Assets
COMP_056,2021,+,+,-,Liquidating Assets
COMP_056,2022,+,+,+,Cash Accumulator
COMP_056,2023,+,+,-,Liquidating Assets
COMP_057,2019,-,-,-,Pre-Revenue
COMP_057,2020,+,-,+,Mixed
COMP_057,2021,+,-,+,Mixed
COMP_057,2022,-,+,+,Distress Signal
COMP_057,2023,-,-,+,Growth Funded by Debt
COMP_058,2019,-,+,-,Unknown
COMP_058,2020,+,-,+,Mixed
COMP_058,2021,+,+,+,Cash Accumulator
COMP_058,2022,+,+,+,Cash Accumulator
COMP_058,2023,-,-,+,Growth Funded by Debt
COMP_059,2019,-,-,+,Growth Funded by Debt
COMP_059,2020,-,+,-,Unknown
COMP_059,2021,-,-,-,Pre-Revenue
COMP_059,2022,+,+,+,Cash Accumulator
COMP_059,2023,+,-,-,Shareholder Returns
COMP_060,2019,-,-,+,Growth Funded by Debt
COMP_060,2020,-,+,+,Distress Signal
COMP_060,2021,+,+,+,Cash Accumulator
COMP_060,2022,-,-,+,Growth Funded by Debt
COMP_060,2023,-,+,+,Distress Signal
COMP_061,2019,+,-,+,Mixed
COMP_061,2020,-,+,-,Unknown
COMP_061,2021,-,-,+,Growth Funded by Debt
COMP_061,2022,-,+,+,Distress Signal
COMP_061,2023,+,-,+,Mixed
COMP_062,2019,+,+,-,Liquidating Assets
COMP_062,2020,+,+,+,Cash Accumulator
COMP_062,2021,-,-,+,Growth Funded by Debt
COMP_062,2022,-,+,-,Unknown
COMP_062,2023,-,-,+,Growth Funded by Debt
COMP_063,2019,+,+,-,Liquidating Assets
COMP_063,2020,+,-,-,Reinvestor
COMP_063,2021,-,-,-,Pre-Revenue
COMP_063,2022,+,-,+,Mixed
COMP_063,2023,+,-,+,Mixed
COMP_064,2019,+,+,+,Cash Accumulator
COMP_064,2020,+,-,-,Reinvestor
COMP_064,2021,+,+,-,Liquidating Assets
COMP_064,2022,-,+,-,Unknown
COMP_064,2023,-,+,-,Unknown
COMP_065,2019,+,-,+,Mixed
COMP_065,2020,+,-,-,Reinvestor
COMP_065,2021,+,-,+,Mixed
COMP_065,2022,-,-,-,Pre-Revenue
COMP_065,2023,-,+,-,Unknown
COMP_066,2019,+,+,+,Cash Accumulator
COMP_066,2020,-,-,+,Growth Funded by Debt
COMP_066,2021,-,+,-,Unknown
COMP_066,2022,-,+,-,Unknown
COMP_066,2023,+,+,-,Liquidating Assets
COMP_067,2019,-,-,+,Growth Funded by Debt
COMP_067,2020,+,-,-,Shareholder Returns
COMP_067,2021,+,-,-,Shareholder Returns
COMP_067,2022,+,+,-,Liquidating Assets
COMP_067,2023,+,-,+,Mixed
COMP_068,2019,+,-,-,Shareholder Returns
COMP_068,2020,+,+,-,Liquidating Assets
COMP_068,2021,+,-,+,Mixed
COMP_068,2022,-,-,-,Pre-Revenue
COMP_068,2023,+,+,+,Cash Accumulator
COMP_069,2019,+,+,+,Cash Accumulator
COMP_069,2020,+,+,+,Cash Accumulator
COMP_069,2021,-,-,+,Growth Funded by Debt
COMP_069,2022,+,-,+,Mixed
COMP_069,2023,+,-,-,Reinvestor
COMP_070,2019,+,+,+,Cash Accumulator
COMP_070,2020,+,-,-,Reinvestor
COMP_070,2021,+,-,-,Reinvestor
COMP_070,2022,-,-,-,Pre-Revenue
COMP_070,2023,+,+,+,Cash Accumulator
COMP_071,2019,+,+,+,Cash Accumulator
COMP_071,2020,-,+,-,Unknown
COMP_071,2021,-,+,-,Unknown
COMP_071,2022,-,-,+,Growth Funded by Debt
COMP_071,2023,+,+,-,Liquidating Assets
COMP_072,2019,+,+,+,Cash Accumulator
COMP_072,2020,+,-,-,Shareholder Returns
COMP_072,2021,-,+,-,Unknown
COMP_072,2022,+,-,-,Shareholder Returns
COMP_072,2023,-,-,+,Growth Funded by Debt
COMP_073,2019,+,+,-,Liquidating Assets
COMP_073,2020,-,+,-,Unknown
COMP_073,2021,-,-,+,Growth Funded by Debt
COMP_073,2022,-,+,+,Distress Signal
COMP_073,2023,+,+,-,Liquidating Assets
COMP_074,2019,+,+,-,Liquidating Assets
COMP_074,2020,-,-,+,Growth Funded by Debt
COMP_074,2021,+,-,+,Mixed
COMP_074,2022,+,+,-,Liquidating Assets
COMP_074,2023,-,-,-,Pre-Revenue
COMP_075,2019,+,-,-,Shareholder Returns
COMP_075,2020,-,+,+,Distress Signal
COMP_075,2021,-,-,-,Pre-Revenue
COMP_075,2022,+,+,-,Liquidating Assets
COMP_075,2023,-,-,+,Growth Funded by Debt
COMP_076,2019,+,-,-,Shareholder Returns
COMP_076,2020,-,-,+,Growth Funded by Debt
COMP_076,2021,-,+,-,Unknown
COMP_076,2022,-,+,+,Distress Signal
COMP_076,2023,+,+,+,Cash Accumulator
COMP_077,2019,+,-,-,Reinvestor
COMP_077,2020,-,+,-,Unknown
COMP_077,2021,+,-,+,Mixed
COMP_077,2022,-,+,-,Unknown
COMP_077,2023,-,-,-,Pre-Revenue
COMP_078,2019,-,+,-,Unknown
COMP_078,2020,+,-,+,Mixed
COMP_078,2021,-,+,+,Distress Signal
COMP_078,2022,-,+,+,Distress Signal
COMP_078,2023,+,-,-,Reinvestor
COMP_079,2019,-,+,+,Distress Signal
COMP_079,2020,-,+,-,Unknown
COMP_079,2021,-,+,-,Unknown
COMP_079,2022,+,+,-,Liquidating Assets
COMP_079,2023,+,+,-,Liquidating Assets
COMP_080,2019,+,-,+,Mixed
COMP_080,2020,-,+,+,Distress Signal
COMP_080,2021,-,+,+,Distress Signal
COMP_080,2022,+,+,+,Cash Accumulator
COMP_080,2023,+,-,-,Reinvestor
COMP_081,2019,-,+,+,Distress Signal
COMP_081,2020,+,+,-,Liquidating Assets
COMP_081,2021,-,+,-,Unknown
COMP_081,2022,-,-,-,Pre-Revenue
COMP_081,2023,-,+,+,Distress Signal
COMP_082,2019,+,-,+,Mixed
COMP_082,2020,-,+,-,Unknown
COMP_082,2021,+,-,-,Reinvestor
COMP_082,2022,-,+,-,Unknown
COMP_082,2023,+,-,-,Shareholder Returns
COMP_083,2019,+,+,+,Cash Accumulator
COMP_083,2020,+,+,-,Liquidating Assets
COMP_083,2021,+,+,-,Liquidating Assets
COMP_083,2022,-,-,-,Pre-Revenue
COMP_083,2023,+,-,+,Mixed
COMP_084,2019,-,-,-,Pre-Revenue
COMP_084,2020,-,+,-,Unknown
COMP_084,2021,+,+,+,Cash Accumulator
COMP_084,2022,-,-,+,Growth Funded by Debt
COMP_084,2023,-,+,+,Distress Signal
COMP_085,2019,+,+,+,Cash Accumulator
COMP_085,2020,-,+,-,Unknown
COMP_085,2021,+,+,-,Liquidating Assets
COMP_085,2022,+,-,+,Mixed
COMP_085,2023,+,-,+,Mixed
COMP_086,2019,+,+,-,Liquidating Assets
COMP_086,2020,+,+,-,Liquidating Assets
COMP_086,2021,-,-,+,Growth Funded by Debt
COMP_086,2022,-,-,+,Growth Funded by Debt
COMP_086,2023,-,-,+,Growth Funded by Debt
COMP_087,2019,+,-,-,Shareholder Returns
COMP_087,2020,+,+,-,Liquidating Assets
COMP_087,2021,+,-,+,Mixed
COMP_087,2022,-,+,-,Unknown
COMP_087,2023,-,+,+,Distress Signal
COMP_088,2019,-,+,-,Unknown
COMP_088,2020,+,+,+,Cash Accumulator
COMP_088,2021,+,+,-,Liquidating Assets
COMP_088,2022,+,+,-,Liquidating Assets
COMP_088,2023,+,-,+,Mixed
COMP_089,2019,-,-,+,Growth Funded by Debt
COMP_089,2020,-,-,-,Pre-Revenue
COMP_089,2021,+,+,-,Liquidating Assets
COMP_089,2022,-,-,+,Growth Funded by Debt
COMP_089,2023,+,-,-,Reinvestor
COMP_090,2019,+,+,-,Liquidating Assets
COMP_090,2020,+,+,+,Cash Accumulator
COMP_090,2021,-,-,-,Pre-Revenue
COMP_090,2022,-,+,+,Distress Signal
COMP_090,2023,+,-,-,Reinvestor
COMP_091,2019,+,+,+,Cash Accumulator
COMP_091,2020,-,-,+,Growth Funded by Debt
COMP_091,2021,+,+,-,Liquidating Assets
COMP_091,2022,-,-,+,Growth Funded by Debt
COMP_091,2023,+,+,+,Cash Accumulator
COMP_092,2019,+,-,+,Mixed
COMP_092,2020,-,-,+,Growth Funded by Debt
COMP_092,2021,+,-,+,Mixed
COMP_092,2022,-,+,+,Distress Signal
COMP_092,2023,+,-,-,Shareholder Returns
